,Region,rooms,Area,Price,Year,elevator,status,plot,price_per_area,region_value
541,Haukipudas,3,76.0,35280,1973,no,fair,rent,464.2105263157895,983.5526315789474
542,Koskela,3,70.0,65000,1970,no,good,rent,928.5714285714286,1076.4021129400965
543,Keskusta,3,71.0,155000,1954,no,fair,own,2183.0985915492956,3179.3227764073595
544,Kaakkuri,3,79.0,146500,2004,yes,good,rent,1854.4303797468353,2119.9510898197573
545,Kaijonranta,3,75.5,78000,1986,yes,good,rent,1033.112582781457,1339.1369365520188
546,Intiö,3,80.0,180000,1978,yes,good,own,2250.0,2198.111382272284
547,Keskusta,3,82.5,300000,1999,yes,good,rent,3636.3636363636365,3179.3227764073595
548,Toppilansaari,2,63.0,183000,2005,yes,good,rent,2904.7619047619046,3413.741987454625
549,Myllyoja,3,77.5,79000,1973,yes,good,rent,1019.3548387096774,1268.1674783372748
550,Toppilansalmi,3,69.0,257900,2013,yes,good,own,3737.68115942029,3750.2809593953384
551,Myllytulli,3,60.0,242900,2020,yes,good,rent,4048.3333333333335,3141.0285702407214
552,Metsokangas,3,70.0,171000,2014,no,good,rent,2442.8571428571427,2906.7292824145966
553,Myllytulli,3,68.5,166000,1990,no,good,rent,2423.3576642335765,3141.0285702407214
554,Heinäpää,3,84.0,150000,1970,yes,fair,own,1785.7142857142858,2230.320550345751
555,Koskela,3,59.5,42000,1969,no,bad,rent,705.8823529411765,1076.4021129400965
556,Intiö,3,69.5,177000,2004,yes,good,rent,2546.7625899280574,2198.111382272284
557,Höyhtyä,3,70.0,284900,2022,no,good,rent,4070.0,3065.432316834074
558,Keskusta,3,83.0,145000,1955,yes,fair,own,1746.987951807229,3179.3227764073595
559,Keskusta,3,75.0,183424,1954,no,good,own,2445.653333333333,3179.3227764073595
560,Alppila,3,66.5,192000,2015,yes,good,rent,2887.218045112782,2675.1023673012123
561,Kaukovainio,3,81.0,72400,1967,no,good,rent,893.8271604938271,1336.6360477158462
562,Taskila,3,68.0,127000,2003,no,good,own,1867.6470588235295,1867.6470588235295
563,Tuira,3,76.5,77000,1979,yes,fair,rent,1006.5359477124183,2556.6371812766356
564,Välivainio,3,70.0,85330,1965,no, ,rent,1219.0,2304.8410477167176
565,Kaakkuri,3,61.5,160000,2012,yes,good,rent,2601.6260162601625,2119.9510898197573
566,Ritaharju,3,72.0,145000,2008,yes,good,rent,2013.888888888889,2642.530087147403
567,Meritulli,3,82.0,285000,2000,yes,good,rent,3475.609756097561,3475.609756097561
568,Keskusta,3,75.5,210000,1996,yes,good,rent,2781.456953642384,3179.3227764073595
569,Etu-nokela,3,71.0,128000,1970,no,good,rent,1802.8169014084508,1567.2088084059915
570,Myllytulli,3,58.0,259000,2019,yes, , ,4465.517241379311,3141.0285702407214
571,Koskela,3,59.5,52000,1969,no,bad,rent,873.9495798319327,1076.4021129400965
572,Toppilansalmi,3,64.5,236770,2021,yes,good,rent,3670.8527131782944,3750.2809593953384
573,Tuira,3,78.0,128000,1975,no,good,rent,1641.025641025641,2556.6371812766356
574,Hiukkavaara,3,64.0,86500,1965,no,good,own,1351.5625,1561.702653979614
575,Keskusta,3,73.5,280000,1998,yes,good,rent,3809.5238095238096,3179.3227764073595
576,Kaukovainio,3,66.0,206000,2020,yes,good,rent,3121.212121212121,1336.6360477158462
577,Kasarminranta,2,78.0,302500,2007,yes,good,own,3878.2051282051284,4173.383190883192
578,Tuira,3,79.4,92000,1959,no,fair,rent,1158.690176322418,2556.6371812766356
579,Intiö,3,70.0,177000,2004,yes,good,rent,2528.5714285714284,2198.111382272284
580,Tuira,3,73.5,97000,1984,yes,good,rent,1319.7278911564626,2556.6371812766356
581,Välivainio,3,63.0,170000,2008,yes,good,own,2698.4126984126983,2304.8410477167176
582,Heikkilänkangas,3,68.0,88000,2001,no,fair,rent,1294.1176470588234,1294.1176470588234
583,Intiö,2,80.0,135000,1982,yes,fair,own,1687.5,2198.111382272284
584,Oulunsalo,3,65.5,118000,2010,yes,good,own,1801.526717557252,1660.0226180378852
585,Heinäpää,3,67.5,120000,1960,no,good,rent,1777.7777777777778,2230.320550345751
586,Heinäpää,3,68.0,85000,1960,no, ,rent,1250.0,2230.320550345751
587,Alppila,3,71.0,193000,2008,yes,good,rent,2718.3098591549297,2675.1023673012123
588,Peltola,3,66.0,180000,2004,yes,good,rent,2727.2727272727275,2743.829084130451
589,Keskusta,3,87.0,265494,1928,yes,good,own,3051.655172413793,3179.3227764073595
590,Tuira,3,69.0,240000,2012,yes,good,rent,3478.2608695652175,2556.6371812766356
591,Kaijonharju,3,76.0,80000,1983,yes,good,rent,1052.6315789473683,1037.4877902854425
592,Toppilansaari,3,69.0,305000,2017,yes,good,own,4420.289855072464,3413.741987454625
593,Talvikangas,3,74.0,155000,2007,no,good,rent,2094.5945945945946,2094.5945945945946
594,Keskusta,3,85.0,174000,1965,yes,good,own,2047.0588235294117,3179.3227764073595
595,Keskusta,4,117.0,309000,1962,yes,good,own,2641.025641025641,3179.3227764073595
596,Värttö,4,85.5,345000,2009,yes,good,own,4035.0877192982457,2482.4331660390353
597,Toppila,4,92.5,84000,1993,yes,good,own,908.1081081081081,1431.2842579565367
598,Kaukovainio,4,85.0,83000,1969,no,good,rent,976.4705882352941,1336.6360477158462
599,Toppilansalmi,4,86.0,310000,2012,yes,good,rent,3604.6511627906975,3750.2809593953384
600,Kivikkokangas,4,77.0,204900,2017,no, ,rent,2661.038961038961,3111.9386570911815
601,Värttö,4,92.5,182000,1974,no,good,own,1967.5675675675675,2482.4331660390353
602,Etu-lyötty,4,93.0,308000,2008,yes,good,own,3311.8279569892475,3267.6551538516082
603,Tuira,4,94.0,365000,2014,no,good,rent,3882.978723404255,2556.6371812766356
604,Keskusta,4,78.5,283500,2015,yes,good,own,3611.4649681528663,3179.3227764073595
605,Lintula,2,82.5,148000,1967,no,good,rent,1793.939393939394,1712.2979667987315
606,Kaukovainio,3,90.0,148000,1971,yes,good,rent,1644.4444444444443,1336.6360477158462
607,Keskusta,5,134.0,273000,1973,yes,good,own,2037.313432835821,3179.3227764073595
608,Tuira,4,112.0,560000,2012,yes,good,rent,5000.0,2556.6371812766356
609,Heinäpää,4,86.0,135000,1976,yes, ,own,1569.7674418604652,2230.320550345751
610,Lintula,5,97.0,150000,1969,no,good,rent,1546.3917525773195,1712.2979667987315
611,Rajakylä,4,92.0,62000,1975,no,good,rent,673.9130434782609,853.9507412778029
612,Heinäpää,4,81.0,359000,2016,yes,good,own,4432.098765432099,2230.320550345751
